BeginPrimaryCareCostSharingAfterNumberOfVisits,IsHSAEligible,IsNewPlan,IsReferralRequiredForSpecialist,NationalNetwork,OutOfServiceAreaCoverage,PlanType,StandardComponentId,StateCode
0,,New,,Yes,Yes,PPO,75719NV0010012,NV
0,,New,,Yes,Yes,PPO,75719NV0010012,NV
0,,New,,No,No,HMO,86438NV0030001,NV
0,,New,,No,No,HMO,86438NV0030001,NV
0,,New,,No,No,HMO,86438NV0030002,NV
0,,New,,No,No,HMO,86438NV0030002,NV
0,,Existing,,Yes,Yes,PPO,88671NV0020001,NV
0,,Existing,,Yes,Yes,PPO,88671NV0020001,NV
0,,Existing,,Yes,Yes,PPO,88671NV0030004,NV
0,,Existing,,Yes,Yes,PPO,88671NV0020004,NV
0,,Existing,,Yes,Yes,PPO,88671NV0020004,NV
0,,Existing,,Yes,Yes,PPO,88671NV0030004,NV
0,,Existing,,Yes,Yes,PPO,88671NV0030006,NV
0,,Existing,,Yes,Yes,PPO,88671NV0020006,NV
0,,Existing,,Yes,Yes,PPO,88671NV0020006,NV
0,,Existing,,Yes,Yes,PPO,88671NV0030006,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030009,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030009,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030009,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030009,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030010,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030010,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030010,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030010,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030011,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030011,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030011,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030011,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030013,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030013,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030013,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030013,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030020,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030020,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030020,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030020,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030021,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030021,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030021,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030021,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030022,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030022,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030022,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030022,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030044,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030044,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030044,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030044,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030017,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030017,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030017,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030017,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030017,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030017,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030017,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030018,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030018,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030018,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030018,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030018,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030018,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030018,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030014,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030014,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030014,NV
0,Yes,New,No,Yes,Yes,PPO,14650OH0230008,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230008,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230007,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230007,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230007,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230008,OH
0,No,New,No,Yes,Yes,PPO,14650OH0230024,OH
0,No,New,No,Yes,Yes,PPO,14650OH0230024,OH
0,No,New,No,Yes,Yes,PPO,14650OH0230036,OH
0,No,New,No,Yes,Yes,PPO,14650OH0230036,OH
0,Yes,New,No,No,Yes,HMO,20126OH0560010,OH
0,Yes,New,No,No,Yes,HMO,20126OH0560010,OH
0,Yes,New,No,No,Yes,HMO,20126OH0560010,OH
0,Yes,New,No,No,Yes,HMO,20126OH0560010,OH
0,Yes,New,No,No,Yes,HMO,20126OH0560010,OH
0,Yes,Existing,No,No,Yes,HMO,20126OH0560007,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230009,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230009,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230009,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230009,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230010,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230010,OH
0,No,New,No,Yes,Yes,PPO,14650OH0230027,OH
0,No,New,No,Yes,Yes,PPO,14650OH0230027,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230008,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230008,OH
0,No,New,No,Yes,Yes,PPO,14650OH0230018,OH
